                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                 0.7752,                0.58839,                 1.0683,                0.69134,                0.42074,                0.44274,                0.28012,                 1.1862,                0.79658,                 1.1826,             0.00023842,             0.00023842,             0.00023842
                    121,                0.79069,                0.60117,                 1.0667,                0.64063,                0.45349,                0.44371,                0.27704,                 1.2257,                0.80022,                 1.1883,             0.00023109,             0.00023109,             0.00023109
                    122,                0.75881,                0.57794,                 1.0623,                0.69332,                0.44382,                0.43321,                0.26966,                 1.2518,                0.83068,                 1.1943,             0.00022376,             0.00022376,             0.00022376
                    123,                0.76296,                0.57914,                 1.0657,                0.68147,                0.42456,                0.43505,                0.27297,                 1.2061,                0.79434,                 1.1799,             0.00021642,             0.00021642,             0.00021642
                    124,                0.76265,                0.58339,                 1.0628,                0.67691,                0.43466,                0.44338,                0.27687,                 1.1921,                0.76524,                 1.1861,             0.00020909,             0.00020909,             0.00020909
                    125,                0.77956,                0.58023,                 1.0677,                0.67023,                 0.4769,                0.45029,                0.27846,                  1.208,                0.76751,                 1.1771,             0.00020176,             0.00020176,             0.00020176
                    126,                0.79043,                 0.5948,                  1.072,                0.73393,                0.41358,                0.44453,                0.27956,                 1.2152,                0.77389,                 1.1821,             0.00019442,             0.00019442,             0.00019442
                    127,                0.75834,                0.57192,                 1.0602,                0.72991,                0.41592,                0.44374,                 0.2843,                   1.23,                0.76511,                 1.1841,             0.00018709,             0.00018709,             0.00018709
                    128,                0.75916,                0.56823,                 1.0557,                0.69642,                0.44599,                0.45178,                 0.2807,                 1.2064,                0.79056,                 1.1889,             0.00017976,             0.00017976,             0.00017976
                    129,                0.76619,                0.56637,                 1.0657,                0.75695,                0.42889,                0.46196,                0.27873,                 1.2101,                0.78971,                 1.1838,             0.00017243,             0.00017243,             0.00017243
                    130,                0.73859,                0.56059,                 1.0468,                0.70186,                0.43011,                0.43836,                0.27981,                 1.2132,                0.78695,                 1.1827,             0.00016509,             0.00016509,             0.00016509
                    131,                0.73721,                0.55982,                 1.0382,                0.70086,                0.45715,                0.44446,                 0.2778,                  1.204,                0.76555,                 1.1966,             0.00015776,             0.00015776,             0.00015776
                    132,                0.75046,                0.56273,                 1.0544,                0.73499,                0.43044,                0.45197,                0.28535,                 1.2178,                0.76803,                 1.1863,             0.00015043,             0.00015043,             0.00015043
                    133,                0.74911,                0.56701,                 1.0498,                0.74366,                0.44421,                 0.4617,                0.28417,                 1.2102,                0.76654,                  1.179,              0.0001431,              0.0001431,              0.0001431
                    134,                0.76144,                0.57674,                 1.0505,                0.67229,                0.46032,                0.43735,                0.28113,                 1.1788,                0.75987,                 1.1632,             0.00013576,             0.00013576,             0.00013576
                    135,                0.76302,                0.58622,                  1.063,                 0.6916,                0.46127,                0.45893,                0.28457,                 1.1988,                0.77132,                 1.1732,             0.00012843,             0.00012843,             0.00012843
                    136,                 0.7475,                0.58092,                 1.0572,                 0.6563,                0.46701,                0.44829,                 0.2858,                 1.2308,                0.77936,                  1.191,              0.0001211,              0.0001211,              0.0001211
                    137,                0.76082,                0.57268,                 1.0582,                0.73827,                0.45882,                0.46576,                0.28186,                 1.2263,                0.78603,                 1.1863,             0.00011377,             0.00011377,             0.00011377
                    138,                0.75593,                0.56976,                 1.0435,                0.73222,                0.46395,                0.46848,                0.28347,                 1.2144,                0.77678,                 1.1845,             0.00010643,             0.00010643,             0.00010643
                    139,                0.74587,                0.55516,                 1.0513,                0.74786,                0.46751,                0.46802,                0.28442,                 1.2243,                0.77067,                 1.1897,             9.9101e-05,             9.9101e-05,             9.9101e-05
                    140,                0.74127,                0.55634,                 1.0486,                0.73585,                0.45762,                0.45645,                0.28647,                 1.2014,                0.76318,                 1.1709,             9.1769e-05,             9.1769e-05,             9.1769e-05
